D-Glucopyranuronic acid	http://glyconavi.org/GST/MS32
2-Amino-2-deoxy-D-glucopyranose	http://glyconavi.org/GST/MS33
2-Acetamido-2-deoxy-D-glucopyranose	http://glyconavi.org/GST/MS34
D-Gulopyranose	http://glyconavi.org/GST/MS35
D-Gulopyranuronic acid	http://glyconavi.org/GST/MS36
2-Amino-2-deoxy-D-gulopyranose	http://glyconavi.org/GST/MS37
2-Acetamido-2-deoxy-D-gulopyranose	http://glyconavi.org/GST/MS38
L-Idopyranose	http://glyconavi.org/GST/MS39
L-Idopyranuronic acid	http://glyconavi.org/GST/MS40
2-Amino-2-deoxy-L-idopyranose	http://glyconavi.org/GST/MS41
2-Acetamido-2-deoxy-L-idopyranose	http://glyconavi.org/GST/MS42
3-Deoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid	http://glyconavi.org/GST/MS43
3-Deoxy-D-manno-oct-2-ulopyranosonic acid	http://glyconavi.org/GST/MS44
5,7-Diamino-3,5,7,9-tetradeoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid	http://glyconavi.org/GST/MS45
L-glycero-D-manno-Heptopyranose	http://glyconavi.org/GST/MS46
D-Lyxopyranose	http://glyconavi.org/GST/MS47
D-Mannopyranose	http://glyconavi.org/GST/MS48
D-Mannopyranuronic acid	http://glyconavi.org/GST/MS49
2-Amino-2-deoxy-D-mannopyranose	http://glyconavi.org/GST/MS50
2-Acetamido-2-deoxy-D-mannopyranose	http://glyconavi.org/GST/MS51
2-Amino-3-O-[(R)-1-carboxyethyl]-2-deoxy-D-glucopyranose	http://glyconavi.org/GST/MS52
2-Acetamido-3-O-[(R)-1-carboxyethyl]-2-deoxy-D-glucopyranose	http://glyconavi.org/GST/MS53
3-O-[(R)-1-Carboxyethyl]-2-deoxy-2-glycolamido-D-glucopyranose	http://glyconavi.org/GST/MS54
5-Amino-3,5-dideoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid	http://glyconavi.org/GST/MS55
5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid	http://glyconavi.org/GST/MS56
3,5-Dideoxy-5-glycolamido-D-glycero-D-galacto-non-2-ulopyranosonic acid	http://glyconavi.org/GST/MS57
2,6-Dideoxy-D-arabino-hexopyranose	http://glyconavi.org/GST/MS58
3,6-Dideoxy-D-ribo-hexopyranose	http://glyconavi.org/GST/MS59
5,7-Diamino-3,5,7,9-tetradeoxy-L-glycero-L-manno-non-2-ulopyranosonic acid	http://glyconavi.org/GST/MS60
D-ribo-Hex-2-ulopyranose	http://glyconavi.org/GST/MS61
